hotel_most_popular_facilities,hotel_desc_title,hotel_desc_summary,hotel_address,landmarks_nearby,restaurants_and_markets,natural_beauties,hotel_desc_detail,airports_nearby,hotel_name
",Free WiFi,,Airport Shuttle,,Family Rooms,,Free Parking,,Restaurant,,Non-Smoking Rooms",,,"Avenue Houmane El Fetouaki, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Bahia Palace,Marrakech Plaza,Carré Eden Shopping Center,Majorelle Gardens,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall",,,,,Chems Hotel
",Free WiFi,,Airport Shuttle,,Family Rooms,,Free Parking,,Restaurant,,Non-Smoking Rooms",,,"Km 3 Route De L'ourika, Oasis Hassan II, Douar Zemrane, 40000 Marrakesh, Morocco","Bahia Palace,Djemaa El Fna,Koutoubia,Souk of the Medina,Marrakech Museum,Medersa Ben Youssef,Menara Gardens,Marrakech Plaza,Carré Eden Shopping Center,Majorelle Gardens","bo&zin,La FINCA,PACHA,AL FASSIA AGDAL,BIANCO ICE,CESAR,CARREFOUR","
SETI FADMA
,
OURIKA
,
TAKERKOUST
,
ESSAOUIRA
",,"
,
Menara Airport
",Riad Jawad
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Family Rooms,,Parking,,Non-Smoking Rooms",,,"76 Rue Berrima, Derb Touareg, 40000 Marrakesh, Morocco","Agdal Gardens,Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,AL Mazar Mall,Carré Eden Shopping Center,The Montgomerie Golf Course,Marrakesh Train Station,Menara Gardens,Atlas Golf Marrakech","Carfour,Marché Mellah,Foundouk",,,,Riad Carina
",Outdoor Pool,,Free WiFi,,Spa,,Family Rooms,,Free Parking,,Fitness Center",Get the celebrity treatment with world-class service at Es Saadi Marrakech Resort - Hotel,,"Rue Ibrahim El Mazini Hivernage, Hivernage, 40000 Marrakesh, Morocco","El Badi Palace,Carré Eden Shopping Center,Menara Gardens,Marrakesh Train Station,Marrakech Museum,Bahia Palace,Medersa Ben Youssef,Majorelle Gardens,The Montgomerie Golf Course,Agdal Gardens",,,,,Es Saadi Marrakech Resort - Hotel
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Parking,,Restaurant,,Non-Smoking Rooms",,,"19, rue Sidi Yamani, Bab Ksour, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall,Atlas Golf Marrakech",barrage,,,,Dixneuf La Ksour
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Restaurant,,Non-Smoking Rooms",,,"Derb Sidi Ahmed Ben Naceur, Quartier Kaat Ben Nahid, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Place du 16 Novembre,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Agdal Gardens,Menara Gardens,The Montgomerie Golf Course,AL Mazar Mall,Palooza Land Park","le Foundouk,Market,La terrasse de la médersa,Supermarket","
Mountain
,
Lake
",,"
,
Menara Airport
",Riad Matham
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking,,Restaurant",,,"Riad Zitoune El-Kadem Derb Jedid N°8, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,Agdal Gardens,Carré Eden Shopping Center,AL Mazar Mall,The Montgomerie Golf Course,Marrakesh Train Station,Menara Gardens,Atlas Golf Marrakech","la tanjia,cozybar,Massaoudi,marché covert malahe","
attlas
,
aourika
",,"
,
Menara Airport
",Riad Anabel
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Non-Smoking Rooms",,,"14 Derb Alaati Allah, Hay Salam, Medina Marrakech, 40,040, Mellah, 40040 Marrakesh, Morocco","Agdal Gardens,Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,AL Mazar Mall,Carré Eden Shopping Center,The Montgomerie Golf Course,Marrakesh Train Station,Menara Gardens,International Automobile Circuit Moulay El Hassan","Spice Souk, Gold Souk & Bahia Palace",,,,Riad Assakina
",Free WiFi,,Airport Shuttle,,Parking,,Restaurant,,Pet Friendly",,,"Derb Hajra 11, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Agdal Gardens,Menara Gardens,The Montgomerie Golf Course,AL Mazar Mall,Atlas Golf Marrakech","carrefour market,marche des epices,le marrakchi, cafe de france","
lac LallaTakerkoust
",,"
,
Menara Airport
",Riad Lamzia
",Free WiFi,,Airport Shuttle,,Spa,,Parking,,Indoor Pool,,Non-Smoking Rooms",,,"41 Derb Jamaa, Rue Riad Zitoun El Keddim, 40 000 Marrakech Medina, Medina, 40000 Marrakesh, Morocco","Menara Mall,Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,Carré Eden Shopping Center,Marrakesh Train Station,Agdal Gardens,Menara Gardens,The Montgomerie Golf Course,AL Mazar Mall",,,,,Riad Palais Des Princesses
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking",,,"411, Derb Sidi Messaoud, Arset Ihiri, Bab Yacout(Bab Doukkala), Medina, 40000 Marrakesh, Morocco","Bahia Palace,Moulay El Yazid Mosque,Marrakesh Train Station,El Badi Palace,Saadian Tombs,Menara Mall,Menara Gardens,Palooza Land Park,The Montgomerie Golf Course,Agdal Gardens","YACOUT,TERRASSE DES EPICES,FRUITS ET LEGUMES,ASSWAK ASSALAM",,,,Riad Spa Sindibad
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking,,Non-Smoking Rooms",,,"N°10, Rahba Lakdima, Derb Dabachi, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Place du 16 Novembre,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Agdal Gardens,Menara Gardens,The Montgomerie Golf Course,AL Mazar Mall,Atlas Golf Marrakech",d'jemaa el fan,,,,Riad Ba Sidi
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking",,," 353 bvd Mohamed VI Km 6 - Route De L'Ourika, Agdal, 40000 Marrakesh, Morocco","Koutoubia,Djemaa El Fna,Souk of the Medina,Menara Gardens,Marrakech Museum,Medersa Ben Youssef,Marrakech Plaza,Marrakesh Train Station,Carré Eden Shopping Center,Majorelle Gardens",,,,,Jnane Leila
",Free WiFi,,Airport Shuttle,,Family Rooms,,Parking,,Non-Smoking Rooms,,Grounds",,,"29 Arset Aouzal, Bab Doukkala, Medina, 40030 Marrakesh, Morocco","Bahia Palace,Saadian Tombs,El Badi Palace,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall","Dar Marjana,La Maison Arabe,Souks",,,,Riad Malika
",Free WiFi,,Airport Shuttle,,Family Rooms,,Parking,,Restaurant,,Non-Smoking Rooms",,,"51 derb Lalla Bent Lamri, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Place du 16 Novembre,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,Agdal Gardens,The Montgomerie Golf Course,AL Mazar Mall,Palooza Land Park",Lac Lalla Takerkoust,,,,Riad Assouel
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking,,Restaurant",,,"41 derb tizourgarine Dar El Bacha, Medina, 44000 Marrakesh, Morocco","Moulay El Yazid Mosque,Saadian Tombs,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall,Palooza Land Park",souk medina,"
BARRAGE TAKERKOUST
,
atlas
",,"
,
Menara Airport
",Riad Elytis
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Restaurant,,Non-Smoking Rooms",,," 83 rue Bab Doukkala - Dar el Bacha , Medina, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,El Badi Palace,Saadian Tombs,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall","Aswak Assalam,Acima,Café france,Al Mamounia,Dar Moha ,Dar Marjana , La maison Arabe,Café Islane",,,,Dar Doukkala Riad & Spa
",Free WiFi,,Airport Shuttle,,Spa,,Parking,,Restaurant,,Non-Smoking Rooms",,,"16 Derb Jamaa Riad Zitoun Lakdim, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,Carré Eden Shopping Center,Agdal Gardens,Marrakesh Train Station,The Montgomerie Golf Course,AL Mazar Mall,Menara Gardens,Atlas Golf Marrakech","Supermarket,Restaurant,Cafe/bar,Jema el Fna/Mellah","
Lalla Takerkoust
",,"
,
Menara Airport
",Riad Casa Lalla
",Outdoor Pool,,Free WiFi,,Airport Shuttle (free),,Spa,,Family Rooms,,Free Parking",,,"Circuit De La Palmeraie Nakhil Bp 12338, Palmeraie, 40000 Marrakesh, Morocco","Marrakech Plaza,Carré Eden Shopping Center,Koutoubia,Bahia Palace,El Badi Palace,Moulay El Yazid Mosque,Saadian Tombs,Marrakesh Train Station,Menara Gardens,Agdal Gardens",Marjane,"
Ourika
,
Oukaimden
",,"
,
Menara Airport
",Palais Mehdi
",Free WiFi,,Airport Shuttle,,Family Rooms,,Free Parking,,Non-Smoking Rooms,,Room Service",,,"9, Jbel Lakhdar R'mila, Medina, 40000 Marrakesh, Morocco","El Badi Palace,Bahia Palace,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall",,,,,Riad Wow
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking",,,"63 Derb Tbib, Riad Zitoune Jdid, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,Carré Eden Shopping Center,Agdal Gardens,Marrakesh Train Station,AL Mazar Mall,The Montgomerie Golf Course,Menara Gardens,Atlas Golf Marrakech","Supermarket,Restaurant,Market,marché du melha,kosy bar","
barrage
",,"
,
Menara Airport
",Riad Darija
",Outdoor Pool,,Free WiFi,,Free Parking,,Restaurant,,Fitness Center,,Non-Smoking Rooms",Get the celebrity treatment with world-class service at Le Meridien N'fis,,"Avenue Mohammed VI, Hivernage, 40000 Marrakesh, Morocco","Carré Eden Shopping Center,Moulay El Yazid Mosque,Saadian Tombs,Djemaa El Fna,El Badi Palace,Majorelle Gardens,Marrakech Museum,Bahia Palace,Medersa Ben Youssef,Agdal Gardens",Menara Mall,,,,Le Meridien N'fis
",Outdoor Pool,,Free WiFi,,Airport Shuttle (free),,Spa,,Family Rooms,,Free Parking",,,"Av. El Yarmouk Hivernage, Hivernage, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,Saadian Tombs,Marrakech Museum,Medersa Ben Youssef,El Badi Palace,Majorelle Gardens,Marrakesh Train Station,Bahia Palace,Menara Gardens,Agdal Gardens",,,,,The Red House
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking",,,"43 Derb Fahl Ezzafriti  Quartier Laksour , Medina, 44000 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Menara Mall,Majorelle Gardens,Carré Eden Shopping Center,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall","Comptoir Darna,Acima,Jamea el Fana,Café de Frace","
Lalla Takerkoust
,
Tansift
",,"
,
Menara Airport
",Riad Al Rimal
",Outdoor Pool,,Free WiFi,,Spa,,Family Rooms,,Free Parking,,Restaurant",,,"avenue Mohamed VI ex avenue de france, Hivernage, 40000 Marrakesh, Morocco","Koutoubia,Majorelle Gardens,Djemaa El Fna,Moulay El Yazid Mosque,Saadian Tombs,Marrakech Museum,El Badi Palace,Medersa Ben Youssef,Bahia Palace,Agdal Gardens",CARREFOUR,,,,Atlas Asni
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Free Parking,,Non-Smoking Rooms,,Pet Friendly",,,"Circuit de La palmeraie, Palmeraie, 40000 Marrakesh, Morocco","Bahia Palace,Koutoubia,Marrakech Plaza,Carré Eden Shopping Center,El Badi Palace,Moulay El Yazid Mosque,Saadian Tombs,Marrakesh Train Station,Agdal Gardens,Menara Gardens","Restaurant Murano,Leroy's Kfé,Superette El Bahja,Marjane","
Waky Marrakech Artificial River
,
Lac Lalla Takarkoust
",,"
,
Menara Airport
",Domaine Abiad
",Free WiFi,,Airport Shuttle,,Family Rooms,,Restaurant,,Pet Friendly,,Grounds",,,"9 Derb Guenaoua, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Place du 16 Novembre,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Agdal Gardens,Menara Gardens,AL Mazar Mall,The Montgomerie Golf Course,Atlas Golf Marrakech",,,,,Riad L'Aziza
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking,,Restaurant",,,"32 Jnane Ben Chagra Toualat el Bibat N° 32 Medina , Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Agdal Gardens,Majorelle Gardens,Carré Eden Shopping Center,AL Mazar Mall,The Montgomerie Golf Course,Marrakesh Train Station,Menara Gardens,International Automobile Circuit Moulay El Hassan","SALAMA, TANJIA,DAR ESSALAM, CAFE FRANCE, EL MARRAKCHI,ESSAADOUNI SERVICE,EL MELLAH, MEDINA, ARAAST EL MAACH",,,,Riad & Spa le Secret de Zoraida
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Family Rooms,,Free Parking,,Non-Smoking Rooms",,,"44 Taht Sour Sghir, Medina, 44000 Marrakesh, Morocco","El Badi Palace,Moulay El Yazid Mosque,Saadian Tombs,Menara Mall,Marrakesh Train Station,Palooza Land Park,Menara Gardens,Agdal Gardens,The Montgomerie Golf Course,AL Mazar Mall",,,,,Riad Zaouia 44
",Free WiFi,,Spa,,Family Rooms,,Free Parking,,Restaurant,,Fitness Center",,,"Zone Touristique Agdal, 40000 Marrakesh, Morocco","Djemaa El Fna,Souk of the Medina,Marrakech Museum,Menara Gardens,Medersa Ben Youssef,Place du 16 Novembre,Marrakech Plaza,Marrakesh Train Station,Carré Eden Shopping Center,Majorelle Gardens","old medina,carrefour,Al Fassia,Bianco Ice","
lalla takerkoust
",,"
,
Menara Airport
",Mogador Palace Agdal
",Outdoor Pool,,Free WiFi,,Spa,,Free Parking,,Restaurant,,Fitness Center",,,"Arset Jnane Lakhdar, Medina, 40000 Marrakesh, Morocco","El Badi Palace,Bahia Palace,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall",Place Jamaa El Fna,,,,Medina Gardens - Adults Only - All Inclusive available
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking,,Non-Smoking Rooms",,,"Sidi Ben Slimane, 160 Derb El Ferane, Medina, 40000, Medina, 40000 Marrakesh, Morocco","Carré Eden Shopping Center,El Badi Palace,Moulay El Yazid Mosque,Saadian Tombs,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,Palooza Land Park",DAR ZELLIJ,"
OURIKA
,
LALLA TAKERKOUST
",,"
,
Menara Airport
",Hotel & Spa Riad Dar El Aila
",Free WiFi,,Airport Shuttle,,Family Rooms,,Parking,,Restaurant,,Non-Smoking Rooms",,,"Derb Zaouia 2 - Bab Doukkala  , Medina, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,Saadian Tombs,Bahia Palace,El Badi Palace,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall","Achima Supermatket,Maison Arabe,Dar Moha,Riad Kniza,Souks/Bazars",,,,Riad Mur Akush
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking",,,"104 Diour Jdad Zaouia Abbassia,Porte Bab Yacout, Medina, 40000  Marrakesh, Morocco","Bahia Palace,El Badi Palace,Moulay El Yazid Mosque,Saadian Tombs,Marrakesh Train Station,Menara Mall,Menara Gardens,Palooza Land Park,The Montgomerie Golf Course,Agdal Gardens","Latitude 31,Aswak Assalam,marché central de Guéliz","
Lalla Takerkoust
",,"
,
Menara Airport
",Riad Laila
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking,,Non-Smoking Rooms",,,"Rue Moulay Taieb Ghali EL Lakssour, 3 Derb Moulay Ghali, Medina, 40030 Marrakesh, Morocco","Place du 16 Novembre,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Menara Gardens,Agdal Gardens,The Montgomerie Golf Course,AL Mazar Mall,Atlas Golf Marrakech","CAFE FNAQUE,KSAR ESSAOUSSAN,SOUK TRADITIONNEL,CARREFOUR MARKET","
OUKAIMDEN
",,"
,
Menara Airport
",Riad Ghali & SPA
",Outdoor Pool,,Free WiFi,,Airport Shuttle (free),,Spa,,Family Rooms,,Free Parking",,,"Palmeraie Marrakech, Palmeraie, 40000 Marrakesh, Morocco","El Badi Palace,Marrakech Plaza,Place du 16 Novembre,Carré Eden Shopping Center,Moulay El Yazid Mosque,Saadian Tombs,Golf Amelkis,Marrakesh Train Station,Agdal Gardens,Menara Gardens","Mariinski,Palmeraie,Ain Itti,Le Blokk,Le Foundouk,Le comptoir Darna","
Lalla Takerkoust
",,"
,
Menara Airport
",Dar Ayniwen
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking",,,"35 Zaouia  Abassia, Kaa El Machra, Medina, 40000 Marrakesh, Morocco","Bahia Palace,El Badi Palace,Moulay El Yazid Mosque,Saadian Tombs,Marrakesh Train Station,Menara Mall,Palooza Land Park,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens","MARCHE DE GUELZ,PALAIS SOLEIMANE,BAR PALAIS SOLEIMANE,MARCHE DES ANTIQUAIRES,CENTRE ARTISANAL ,RESTAURANT LE YACOUT,SUPERMARCHE ACIMA,DAR ZELIG,CAFE BAR LIMONI,RESTAURANT BAR LATITUDE 31,SUPERMARCHE ASWAK ASSALAM","
PALMERAIE DE MARRAKECH
,
LAC DE TAKERKOUST
,
JARDIN MAORELLE
,
MUSEE D YVES SAINT LAURENT
",,"
,
Menara Airport
",Riad Ayadina & SPA
",Free WiFi,,Airport Shuttle,,Parking,,Indoor Pool,,Restaurant,,Non-Smoking Rooms",,,"23 Derb Sidi Lahcen o Ali, Bab Doukkala, Medina, Medina, 40030 Marrakesh, Morocco","Moulay El Yazid Mosque,Bahia Palace,Saadian Tombs,El Badi Palace,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,Palooza Land Park","Carrefour ,La maison Arab,Le jardin,Cafe Arab ,Souks ,Nomad ","
Ourika Valley 
,
Lala Takrkoust Dam 
",,"
,
Menara Airport
",Riad Be Marrakech
",Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Non-Smoking Rooms,,Pet Friendly",,,"Sidi Yahia Palmeraie, Palmeraie, 40000 Marrakesh, Morocco","Carré Eden Shopping Center,Djemaa El Fna,Koutoubia,Bahia Palace,El Badi Palace,Marrakesh Train Station,Moulay El Yazid Mosque,Saadian Tombs,Menara Gardens,Agdal Gardens","El Bahja Supermarket,Restaurant Le BLOKK ,Leroy's Kfé ,Marjane","
Wakiy Marrakech Artificial River Water Sports
,
Lake Lala Takerkoust
,
Ourika Valley
",,"
,
Menara Airport
",Domaine Rosaroum
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking,,Non-Smoking Rooms",,,"16 Derb Ouayhah Sidi Abdelaziz, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Place du 16 Novembre,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,Agdal Gardens,The Montgomerie Golf Course,AL Mazar Mall,Palooza Land Park","souk de medina,souk,Cafe Arabe / le jardine / ben youssef,cafe arabe","
takarkoust
",,"
,
Menara Airport
",Riad Dar Ourika
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Non-Smoking Rooms",,,"Riad Zitoune Jdid, 114 Derb Sidi Moussa, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Agdal Gardens,Majorelle Gardens,Carré Eden Shopping Center,AL Mazar Mall,The Montgomerie Golf Course,Marrakesh Train Station,Menara Gardens,Atlas Golf Marrakech",,,,,Riad Flam & Spa
",Free WiFi,,Airport Shuttle,,Parking,,Indoor Pool,,Restaurant,,Non-Smoking Rooms",,,"Derb Hammaria10, Rue  Dar El Bacha, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Saadian Tombs,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall,Palooza Land Park","acima,Dar Moha,café Arabe,Marché local","
Lala takerkoust
",,"
,
Menara Airport
",Riad Les Trois Cours
",Outdoor Pool,,Free WiFi,,Family Rooms,,Indoor Pool,,Restaurant,,Non-Smoking Rooms",,,"85, Derb Jdid, Riad Zitoun Lakdim, Medina, 40008 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,Agdal Gardens,Carré Eden Shopping Center,AL Mazar Mall,Marrakesh Train Station,The Montgomerie Golf Course,Menara Gardens,Atlas Golf Marrakech",,,,,Riad Diana
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking",,,"Avenue Mohamed VI - Zone touristique Agdal, Agdal, 40000 Marrakesh, Morocco","Koutoubia,Djemaa El Fna,Menara Gardens,Souk of the Medina,Marrakech Museum,Medersa Ben Youssef,Marrakech Plaza,Marrakesh Train Station,Carré Eden Shopping Center,Majorelle Gardens","Place Jemaa el fenna,Marché de Gueliz,Bianco Ice,Bianco Ice,Carrefour,Al Fassia restaurant Marocain,Virgin Café,Pacha,Crystal","
Ski lift
,
Lalla Takerkoust 
,
Ourika
",,"
,
Menara Airport
",Kech Boutique Hotel & Spa
",Free WiFi,,Airport Shuttle (free),,Spa,,Family Rooms,,Free Parking,,Non-Smoking Rooms",Get the celebrity treatment with world-class service at Palais Aziza & SPA,,"Mejjat 3/38 Cercle Ennakhil, Commune J'Nanate - BP 7272 Palmeraie, Palmeraie, 40000 Marrakesh, Morocco","El Badi Palace,Marrakech Plaza,Moulay El Yazid Mosque,Place du 16 Novembre,Saadian Tombs,Carré Eden Shopping Center,Golf Amelkis,Marrakesh Train Station,Agdal Gardens,Menara Gardens",,,,,Palais Aziza & SPA
",Free WiFi,,Airport Shuttle,,Family Rooms,,Parking,,Indoor Pool,,Restaurant",,,"N°93, Derb Sidi Lahcen ou Ali, Bab Doukala, Medina, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,Bahia Palace,Saadian Tombs,El Badi Palace,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,Palooza Land Park",,,,,Riad Bindoo
",Free WiFi,,Airport Shuttle,,Parking,,Restaurant,,Non-Smoking Rooms",,,"6 Derb Abdelouassaa,  Sidi Ayoub, Medina, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Place du 16 Novembre,Menara Mall,Carré Eden Shopping Center,Agdal Gardens,Marrakesh Train Station,AL Mazar Mall,Menara Gardens,The Montgomerie Golf Course,Atlas Golf Marrakech","Un Déjeuner à Marrakech,Café Kessabine,Epiceries de quartier,Marché quotidien","
Takerkoust
",,"
,
Menara Airport
",Riad Miski
",Free WiFi,,Airport Shuttle,,Parking,,Restaurant,,Non-Smoking Rooms,,Room Service",,,"66 Derb Jdid Douar Graoua, Medina, 40040 Marrakesh, Morocco","Marrakech Plaza,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Agdal Gardens,Marrakesh Train Station,AL Mazar Mall,The Montgomerie Golf Course,Menara Gardens,Atlas Golf Marrakech","Pepenero,Jemma EL Fna Square","
Lala Takerkoust
",,"
,
Menara Airport
",Riad Aguerzame
